latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.9264,14.7585,327.4,3.5,1.8,2015-08-23,0957,Terra,MODIS,67,6.03,304.1,94.5,D,0
-18.9422,14.7569,364.3,3.5,1.8,2015-08-23,0957,Terra,MODIS,100,6.03,305.1,544.7,D,0
-18.9455,14.7902,345.3,3.5,1.8,2015-08-23,0957,Terra,MODIS,92,6.03,300.8,262.6,D,0
-18.9487,14.8236,328.2,3.5,1.8,2015-08-23,0957,Terra,MODIS,66,6.03,301,99.4,D,0
-18.9515,14.7505,337,3.5,1.8,2015-08-23,0957,Terra,MODIS,87,6.03,300.8,189.8,D,0
-18.9546,14.7837,328.2,3.5,1.8,2015-08-23,0957,Terra,MODIS,79,6.03,297.2,114.4,D,0
-18.8014,14.7539,332.8,1,1,2015-08-23,1242,Aqua,MODIS,78,6.03,316.9,12.3,D,0
-18.8522,14.7916,332.6,1,1,2015-08-23,1242,Aqua,MODIS,54,6.03,318.6,11.1,D,0
-18.8431,14.7903,342.1,1,1,2015-08-23,1242,Aqua,MODIS,88,6.03,318.8,26.4,D,0
-18.8328,14.7287,343.2,1,1,2015-08-23,1242,Aqua,MODIS,89,6.03,315.4,30.2,D,0
-18.8342,14.7189,334.5,1,1,2015-08-23,1242,Aqua,MODIS,78,6.03,314.6,16.2,D,0
-18.8132,14.7357,347.8,1,1,2015-08-23,1242,Aqua,MODIS,92,6.03,317.1,38.4,D,0
-18.8145,14.7259,348.3,1,1,2015-08-23,1242,Aqua,MODIS,93,6.03,316,40.8,D,0
-18.8001,14.7637,336.9,1,1,2015-08-23,1242,Aqua,MODIS,83,6.03,316.5,19.2,D,0
-18.9613,14.7905,336.9,1,1,2015-08-23,1242,Aqua,MODIS,68,6.03,313.8,21.2,D,0
-18.9653,14.761,334.8,1,1,2015-08-23,1242,Aqua,MODIS,31,6.03,312.8,18.6,D,0
-18.9577,14.7641,331.9,1,1,2015-08-23,1242,Aqua,MODIS,69,6.03,314.2,12.7,D,0
-18.959,14.7543,332.2,1,1,2015-08-23,1242,Aqua,MODIS,67,6.03,315.2,13,D,0
-18.9617,14.7347,348.2,1,1,2015-08-23,1242,Aqua,MODIS,93,6.03,310.9,41.6,D,0
-18.9631,14.7249,339.3,1,1,2015-08-23,1242,Aqua,MODIS,80,6.03,310,25.7,D,0
-18.9526,14.7333,330.2,1,1,2015-08-23,1242,Aqua,MODIS,33,6.03,314.4,10.7,D,0
-18.9539,14.7235,336,1,1,2015-08-23,1242,Aqua,MODIS,76,6.03,313.4,20.7,D,0
-18.9553,14.7136,358.7,1,1,2015-08-23,1242,Aqua,MODIS,99,6.03,312.8,70.1,D,0
-18.9182,14.848,337,1,1,2015-08-23,1242,Aqua,MODIS,47,6.03,317.8,17.4,D,0
-18.9383,14.701,344.2,1,1,2015-08-23,1242,Aqua,MODIS,89,6.03,310.3,36.7,D,0
-18.9396,14.6911,328.2,1,1,2015-08-23,1242,Aqua,MODIS,36,6.03,308.2,12.5,D,0
-18.9278,14.7094,363,1,1,2015-08-23,1242,Aqua,MODIS,100,6.03,316,79.9,D,0
-18.9291,14.6996,388,1,1,2015-08-23,1242,Aqua,MODIS,100,6.03,319.3,182.6,D,0
-18.9305,14.6897,355.4,1,1,2015-08-23,1242,Aqua,MODIS,97,6.03,311.7,63,D,0
-18.899,14.7151,331.3,1,1,2015-08-23,1242,Aqua,MODIS,34,6.03,315.2,10.7,D,0
-18.8688,14.8005,362.9,1,1,2015-08-23,1242,Aqua,MODIS,100,6.03,318.6,75.9,D,0
-18.8701,14.7908,350.6,1,1,2015-08-23,1242,Aqua,MODIS,94,6.03,319.8,42.9,D,0
-18.8735,14.7048,331.3,1,1,2015-08-23,1242,Aqua,MODIS,63,6.03,316.3,13,D,0
-18.9144,14.924,317,2.2,1.4,2015-08-23,2208,Terra,MODIS,94,6.03,287.6,49,N,0
-18.9285,14.9215,315.3,2.2,1.4,2015-08-23,2208,Terra,MODIS,89,6.03,287.7,44.2,N,0
-18.9158,14.9188,312.5,2.2,1.4,2015-08-23,2208,Terra,MODIS,82,6.03,287.4,38.2,N,0
-18.8903,14.9136,312.2,2.2,1.4,2015-08-23,2208,Terra,MODIS,22,6.03,288.1,35.2,N,0
-18.8775,14.9109,321.1,2.2,1.4,2015-08-23,2208,Terra,MODIS,75,6.03,288.2,59.3,N,0
-18.8648,14.9083,309.8,2.2,1.4,2015-08-23,2208,Terra,MODIS,78,6.03,287.2,33,N,0
-18.9271,14.9266,314.6,2.2,1.4,2015-08-23,2208,Terra,MODIS,89,6.03,287.8,43.2,N,0
-18.763,14.8151,316.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,54,6.03,302.2,8.6,D,0
-18.8004,14.7044,336.3,1.5,1.2,2015-08-24,0902,Terra,MODIS,86,6.03,302.5,51.4,D,0
-18.8029,14.7188,338.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,88,6.03,305.2,57.8,D,0
-18.8174,14.805,330.6,1.5,1.2,2015-08-24,0902,Terra,MODIS,82,6.03,303.8,35.1,D,0
-18.8198,14.8192,327.7,1.5,1.2,2015-08-24,0902,Terra,MODIS,79,6.03,304.2,28.8,D,0
-18.7929,14.7147,328,1.5,1.2,2015-08-24,0902,Terra,MODIS,79,6.03,304.3,29.4,D,0
-18.8039,14.7127,336.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,87,6.03,303.9,53,D,0
-18.8064,14.7271,319.7,1.5,1.2,2015-08-24,0902,Terra,MODIS,50,6.03,305,12.1,D,0
-18.8214,14.8129,333.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,84,6.03,304.3,43,D,0
-18.9104,14.9414,322.1,1.5,1.2,2015-08-24,0902,Terra,MODIS,34,6.03,304.1,14.7,D,0
-18.8865,14.6673,350.6,1.5,1.2,2015-08-24,0902,Terra,MODIS,95,6.03,306.6,99.9,D,0
-18.889,14.6818,331.4,1.5,1.2,2015-08-24,0902,Terra,MODIS,82,6.03,306.6,35.9,D,0
-18.887,14.6605,345.3,1.5,1.2,2015-08-24,0902,Terra,MODIS,92,6.03,304.4,80.4,D,0
-18.8896,14.675,348.4,1.5,1.2,2015-08-24,0902,Terra,MODIS,94,6.03,307.9,91.2,D,0
-18.8921,14.6895,323.4,1.5,1.2,2015-08-24,0902,Terra,MODIS,73,6.03,306,17.3,D,0
-18.9342,14.9303,322.9,1.5,1.2,2015-08-24,0902,Terra,MODIS,40,6.03,304.6,16.3,D,0
-18.898,14.6585,387.4,1.5,1.2,2015-08-24,0902,Terra,MODIS,100,6.03,308,333.1,D,0
-18.9005,14.673,376.8,1.5,1.2,2015-08-24,0902,Terra,MODIS,100,6.03,310.8,245.3,D,0
-18.9031,14.6874,321.7,1.5,1.2,2015-08-24,0902,Terra,MODIS,52,6.03,305.9,13.4,D,0
-18.909,14.6564,339.3,1.5,1.2,2015-08-24,0902,Terra,MODIS,89,6.03,299.7,62,D,0
-18.9115,14.6709,357.9,1.5,1.2,2015-08-24,0902,Terra,MODIS,99,6.03,305.5,131.8,D,0
-18.914,14.6854,325.6,1.5,1.2,2015-08-24,0902,Terra,MODIS,57,6.03,305.2,20.6,D,0
-18.9224,14.6689,376.4,1.5,1.2,2015-08-24,0902,Terra,MODIS,100,6.03,305.1,244.2,D,0
