row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
0,46,-19.4775,16.6653,8.66,1.0,0.345167,0.007493,0.050858,0.947,0.2578,0.1914,0.08,0.0,0.1,0.094907,0.845279,0.683645,False
0,47,-19.4775,16.7129,10.6,1.0,0.343985,0.005339,0.042854,0.9492,0.2524,0.1879,0.08,0.0,0.0,0.075936,0.830003,0.739513,False
0,48,-19.4775,16.7606,2.17,1.0,0.276469,0.005208,0.037945,0.948,0.2553,0.1898,0.08,0.0,0.0,0.075844,0.8645,0.783843,False
0,49,-19.4775,16.8082,0,1.0,0.250632,0.005151,0.035929,0.9475,0.2568,0.1908,0.08,0.0,0.0,0.075796,0.878714,0.80299,False
0,50,-19.4775,16.8558,0,1.0,0.241139,0.005308,0.035775,0.9469,0.2581,0.1916,0.08,0.0,0.0,0.075755,0.879672,0.805492,False
0,51,-19.4775,16.9035,0,1.0,0.237508,0.005344,0.035626,0.9468,0.2585,0.1919,0.08,0.0,0.0,0.075742,0.880687,0.807196,False
0,52,-19.4775,16.9511,0,1.0,0.237508,0.005172,0.035048,0.947,0.2579,0.1915,0.08,0.0,0.0,0.075762,0.884863,0.811808,False
0,53,-19.4775,16.9988,0,1.0,0.237508,0.004814,0.033813,0.9475,0.2565,0.1906,0.08,0.0,0.0,0.075804,0.893742,0.821825,False
0,54,-19.4775,17.0464,0,1.0,0.237508,0.004312,0.032004,0.9483,0.2547,0.1894,0.08,0.0,0.0,0.075863,0.906558,0.836846,False
0,55,-19.4775,17.0941,0,1.0,0.237508,0.003839,0.030198,0.949,0.253,0.1883,0.08,0.0,0.0,0.075918,0.919058,0.852224,False
0,56,-19.4775,17.1417,0,1.0,0.237508,0.003331,0.028129,0.9497,0.2511,0.1871,0.08,0.0,0.0,0.075977,0.932865,0.870199,False
1,0,-19.4324,14.4738,0,1.0,0.676018,0.00011,0.008617,0.9544,0.2388,0.1791,0.04,0.0,0.0,0.038177,0.98809,0.998387,False
1,1,-19.4324,14.5215,0,1.0,0.676018,0.000186,0.011207,0.9544,0.2389,0.1791,0.04,0.0,0.0,0.038176,0.966844,0.992885,False
1,2,-19.4324,14.5691,0,1.0,0.676018,0.000311,0.014504,0.9543,0.239,0.1792,0.04,0.0,0.1,0.056096,0.979094,0.97814,False
1,3,-19.4324,14.6167,0,1.0,0.676018,0.000515,0.018659,0.9542,0.2393,0.1794,0.04,0.4,0.0,0.133891,0.999235,0.948911,False
1,4,-19.4324,14.6644,0,1.0,0.676018,0.00084,0.023824,0.9541,0.2397,0.1797,0.08,0.0,0.0,0.076325,0.959388,0.902928,False
1,5,-19.4324,14.712,0,1.0,0.676018,0.001343,0.030136,0.9538,0.2404,0.1801,0.08,0.0,0.0,0.076305,0.920503,0.842367,False
1,6,-19.4324,14.7597,0,1.0,0.676018,0.0021,0.037679,0.9534,0.2414,0.1808,0.08,0.0,0.0,0.076275,0.867915,0.772814,False
1,7,-19.4324,14.8073,0,1.0,0.676018,0.003192,0.04645,0.9529,0.2429,0.1817,0.08,0.0,0.0,0.076231,0.806243,0.70099,False
1,8,-19.4324,14.8549,0,1.0,0.676018,0.004691,0.05631,0.9521,0.2448,0.183,0.08,0.0,0.0,0.076171,0.741458,0.632723,False
1,9,-19.4324,14.9026,0,1.0,0.676018,0.006635,0.066975,0.9512,0.2474,0.1847,0.08,0.0,0.1,0.094559,0.756311,0.571906,False
1,10,-19.4324,14.9502,0,1.0,0.676018,0.010813,0.085497,0.949,0.2528,0.1882,0.04,0.4,0.0,0.139089,0.803449,0.490873,False
1,11,-19.4324,14.9979,0,1.0,0.676018,0.017595,0.109061,0.9455,0.2615,0.1939,0.04,0.4,0.0,0.142428,0.729083,0.418581,False
1,12,-19.4324,15.0455,0,1.0,0.660931,0.027367,0.134491,0.9401,0.2745,0.2023,0.0,0.4,0.0,0.109816,0.558038,0.365938,False
1,13,-19.4324,15.0931,0,1.0,0.64582,0.040291,0.16131,0.9324,0.2917,0.2135,0.0,0.4,0.0,0.116685,0.514879,0.327837,False
1,14,-19.4324,15.1408,0,1.0,0.631363,0.055828,0.187744,0.9226,0.3121,0.2267,0.0,0.4,0.0,0.124835,0.485685,0.301624,False
1,15,-19.4324,15.1884,0,1.0,0.617517,0.090216,0.23603,0.9003,0.3537,0.2536,0.0,0.0,0.3,0.076072,0.275517,0.269561,False
1,16,-19.4324,15.2361,0,1.0,0.604243,0.147745,0.298787,0.8617,0.4145,0.2927,0.0,0.0,0.2,0.05855,0.177953,0.244799,False
1,17,-19.4324,15.2837,0,1.0,0.591506,0.220157,0.360865,0.8132,0.4772,0.333,0.0,0.0,0.1,0.033302,0.088153,0.22896,False
1,18,-19.4324,15.3314,0,1.0,0.579272,0.29766,0.415243,0.7641,0.5305,0.367,0.0,0.0,0.1,0.036702,0.084594,0.218071,False
1,19,-19.4324,15.379,0,1.0,0.567512,0.369044,0.457643,0.7222,0.5699,0.392,0.0,0.0,0.1,0.039202,0.082095,0.210565,False
1,20,-19.4324,15.4266,0,1.0,0.556198,0.411681,0.478514,0.6974,0.591,0.4054,0.0,0.0,0.1,0.040538,0.081228,0.207722,False
1,21,-19.4324,15.4743,0,1.0,0.545304,0.44282,0.491398,0.6791,0.6057,0.4147,0.0,0.0,0.1,0.041466,0.080921,0.206464,False
1,22,-19.4324,15.5219,0,1.0,0.534807,0.458126,0.494983,0.6684,0.614,0.4199,0.0,0.0,0.1,0.041986,0.081326,0.207126,False
1,23,-19.4324,15.5696,0,1.0,0.524684,0.450405,0.486127,0.668,0.6143,0.4201,0.0,0.0,0.1,0.042007,0.082783,0.21055,False
1,24,-19.4324,15.6172,0,1.0,0.514914,0.452302,0.482594,0.6633,0.6178,0.4223,0.0,0.0,0.1,0.042227,0.083781,0.212773,False
